State,Year,January-December Minimum Temperature (Units Degrees Fahrenheit)
North Dakota,2017,30.5
North Dakota,2018,28.7
North Dakota,2019,27.7
North Dakota,2020,30.6
North Dakota,2021,31.4
North Dakota,2022,28.1
North Dakota,2023,31.0
Ohio,1974,40.3
Ohio,1975,41.3
Ohio,1976,37.9
Ohio,1977,39.5
Ohio,1978,38.1
Ohio,1979,39.0
Ohio,1980,39.3
Ohio,1981,39.5
Ohio,1982,39.9
Ohio,1983,40.9
Ohio,1984,40.3
Ohio,1985,40.2
Ohio,1986,41.9
Ohio,1987,41.9
Ohio,1988,39.2
Ohio,1989,39.6
Ohio,1990,42.6
Ohio,1991,42.9
Ohio,1992,40.7
Ohio,1993,40.7
Ohio,1994,39.8
Ohio,1995,40.2
Ohio,1996,39.7
Ohio,1997,40.1
Ohio,1998,44.2
Ohio,1999,41.1
Ohio,2000,40.6
Ohio,2001,42.2
Ohio,2002,42.5
Ohio,2003,40.5
Ohio,2004,41.6
Ohio,2005,41.8
Ohio,2006,42.9
Ohio,2007,41.9
Ohio,2008,40.3
Ohio,2009,40.5
Ohio,2010,41.5
Ohio,2011,42.7
Ohio,2012,43.4
Ohio,2013,41.3
Ohio,2014,39.1
Ohio,2015,41.4
Ohio,2016,43.2
Ohio,2017,43.2
Ohio,2018,42.9
Ohio,2019,42.4
Ohio,2020,43.2
Ohio,2021,43.3
Ohio,2022,41.5
Ohio,2023,43.2
Oklahoma,1974,47.5
Oklahoma,1975,46.7
Oklahoma,1976,45.4
Oklahoma,1977,48.4
Oklahoma,1978,46.4
Oklahoma,1979,45.4
Oklahoma,1980,47.7
Oklahoma,1981,48.5
Oklahoma,1982,46.9
Oklahoma,1983,46.6
Oklahoma,1984,47.2
Oklahoma,1985,47.1
Oklahoma,1986,49.3
Oklahoma,1987,47.9
Oklahoma,1988,46.6
Oklahoma,1989,45.9
Oklahoma,1990,48.5
Oklahoma,1991,48.6
Oklahoma,1992,47.9
Oklahoma,1993,46.7
Oklahoma,1994,47.7
Oklahoma,1995,47.3
Oklahoma,1996,46.6
Oklahoma,1997,47.4
Oklahoma,1998,50.5
Oklahoma,1999,49.0
Oklahoma,2000,48.3
Oklahoma,2001,49.0
Oklahoma,2002,47.7
Oklahoma,2003,47.7
Oklahoma,2004,48.8
Oklahoma,2005,48.7
Oklahoma,2006,49.2
Oklahoma,2007,49.1
Oklahoma,2008,47.1
Oklahoma,2009,47.5
Oklahoma,2010,48.6
Oklahoma,2011,48.6
Oklahoma,2012,50.3
Oklahoma,2013,46.9
Oklahoma,2014,46.8
Oklahoma,2015,49.2
Oklahoma,2016,50.0
Oklahoma,2017,49.6
Oklahoma,2018,48.2
Oklahoma,2019,48.3
Oklahoma,2020,48.7
Oklahoma,2021,48.8
Oklahoma,2022,47.8
Oklahoma,2023,49.4
Oregon,1974,35.4
Oregon,1975,35.2
Oregon,1976,34.7
Oregon,1977,35.7
Oregon,1978,35.7
Oregon,1979,35.8
Oregon,1980,36.1
Oregon,1981,36.7
Oregon,1982,34.9
Oregon,1983,37.0
Oregon,1984,35.2
Oregon,1985,32.9
Oregon,1986,37.0
Oregon,1987,36.3
Oregon,1988,36.0
Oregon,1989,35.0
Oregon,1990,35.8
Oregon,1991,36.3
Oregon,1992,37.7
Oregon,1993,34.6
Oregon,1994,36.1
Oregon,1995,37.2
Oregon,1996,36.3
Oregon,1997,36.6
Oregon,1998,37.1
Oregon,1999,35.6
Oregon,2000,36.1
Oregon,2001,36.0
Oregon,2002,35.6
Oregon,2003,37.6
Oregon,2004,37.2
Oregon,2005,36.2
Oregon,2006,36.2
Oregon,2007,35.8
Oregon,2008,34.9
Oregon,2009,35.5
Oregon,2010,36.2
Oregon,2011,35.0
Oregon,2012,36.3
Oregon,2013,35.8
Oregon,2014,38.1
Oregon,2015,38.5
Oregon,2016,37.4
Oregon,2017,36.8
Oregon,2018,36.7
Oregon,2019,36.0
Oregon,2020,37.0
Oregon,2021,37.4
Oregon,2022,36.4
Oregon,2023,36.9
Pennsylvania,1974,37.8
Pennsylvania,1975,39.0
Pennsylvania,1976,36.0
Pennsylvania,1977,37.5
Pennsylvania,1978,36.1
Pennsylvania,1979,37.5
Pennsylvania,1980,36.9
Pennsylvania,1981,37.3
Pennsylvania,1982,37.4
Pennsylvania,1983,38.4
Pennsylvania,1984,38.1
Pennsylvania,1985,38.1
Pennsylvania,1986,38.8
Pennsylvania,1987,38.9
Pennsylvania,1988,37.2
Pennsylvania,1989,37.5
Pennsylvania,1990,40.4
Pennsylvania,1991,39.9
Pennsylvania,1992,38.0
Pennsylvania,1993,38.0
Pennsylvania,1994,37.2
Pennsylvania,1995,38.1
Pennsylvania,1996,37.8
Pennsylvania,1997,37.7
Pennsylvania,1998,41.6
Pennsylvania,1999,39.1
Pennsylvania,2000,38.2
Pennsylvania,2001,39.3
Pennsylvania,2002,39.8
Pennsylvania,2003,38.2
Pennsylvania,2004,39.2
Pennsylvania,2005,39.0
Pennsylvania,2006,40.6
Pennsylvania,2007,38.9
Pennsylvania,2008,38.4
Pennsylvania,2009,38.4
Pennsylvania,2010,39.8
Pennsylvania,2011,40.5
Pennsylvania,2012,41.4
Pennsylvania,2013,39.2
Pennsylvania,2014,37.2
Pennsylvania,2015,38.9
Pennsylvania,2016,40.2
Pennsylvania,2017,40.6
Pennsylvania,2018,40.5
Pennsylvania,2019,39.8
Pennsylvania,2020,41.0
Pennsylvania,2021,41.2
Pennsylvania,2022,38.9
Pennsylvania,2023,41.1
Rhode Island,1974,39.6
Rhode Island,1975,40.9
Rhode Island,1976,38.5
Rhode Island,1977,39.8
Rhode Island,1978,37.8
Rhode Island,1979,40.9
Rhode Island,1980,38.9
Rhode Island,1981,39.4
Rhode Island,1982,39.0
Rhode Island,1983,41.0
Rhode Island,1984,40.7
Rhode Island,1985,39.6
Rhode Island,1986,39.6
Rhode Island,1987,39.6
Rhode Island,1988,39.4
Rhode Island,1989,39.1
Rhode Island,1990,42.1
Rhode Island,1991,41.4
Rhode Island,1992,39.1
Rhode Island,1993,39.8
Rhode Island,1994,39.9
Rhode Island,1995,40.4
Rhode Island,1996,40.1
Rhode Island,1997,40.0
Rhode Island,1998,42.8
Rhode Island,1999,41.8
Rhode Island,2000,40.2
Rhode Island,2001,41.5
Rhode Island,2002,41.7
Rhode Island,2003,40.0
Rhode Island,2004,40.2
Rhode Island,2005,40.9
Rhode Island,2006,42.8
Rhode Island,2007,40.8
Rhode Island,2008,41.4
Rhode Island,2009,40.8
Rhode Island,2010,42.7
Rhode Island,2011,42.4
Rhode Island,2012,43.6
Rhode Island,2013,41.4
Rhode Island,2014,40.3
Rhode Island,2015,40.6
Rhode Island,2016,42.5
Rhode Island,2017,42.4
Rhode Island,2018,42.8
Rhode Island,2019,41.5
Rhode Island,2020,43.5
Rhode Island,2021,43.5
Rhode Island,2022,42.4
Rhode Island,2023,43.8
South Carolina,1974,51.2
South Carolina,1975,51.9
South Carolina,1976,48.9
South Carolina,1977,50.4
South Carolina,1978,49.9
South Carolina,1979,50.0
South Carolina,1980,50.1
South Carolina,1981,48.8
South Carolina,1982,51.7
South Carolina,1983,49.7
South Carolina,1984,50.5
South Carolina,1985,51.6
South Carolina,1986,52.4
South Carolina,1987,50.7
South Carolina,1988,49.0
South Carolina,1989,51.2
South Carolina,1990,52.9
South Carolina,1991,52.8
South Carolina,1992,51.0
South Carolina,1993,51.1
South Carolina,1994,51.6
South Carolina,1995,51.3
South Carolina,1996,50.3
South Carolina,1997,50.9
South Carolina,1998,53.4
South Carolina,1999,51.4
South Carolina,2000,50.3
South Carolina,2001,51.3
South Carolina,2002,52.3
South Carolina,2003,51.5
South Carolina,2004,52.1
South Carolina,2005,51.9
South Carolina,2006,51.8
South Carolina,2007,52.1
South Carolina,2008,51.3
South Carolina,2009,51.8
South Carolina,2010,50.8
South Carolina,2011,52.1
South Carolina,2012,53.2
South Carolina,2013,51.6
South Carolina,2014,50.8
South Carolina,2015,53.7
South Carolina,2016,53.6
South Carolina,2017,53.8
South Carolina,2018,53.6
South Carolina,2019,53.9
South Carolina,2020,54.2
South Carolina,2021,52.7
South Carolina,2022,52.6
South Carolina,2023,53.2
South Dakota,1974,32.6
South Dakota,1975,31.9
South Dakota,1976,32.6
South Dakota,1977,33.6
South Dakota,1978,30.2
South Dakota,1979,30.3
South Dakota,1980,33.2
South Dakota,1981,34.7
South Dakota,1982,31.3
South Dakota,1983,33.6
South Dakota,1984,33.2
South Dakota,1985,30.5
South Dakota,1986,34.5
South Dakota,1987,36.2
South Dakota,1988,33.4
South Dakota,1989,31.7
South Dakota,1990,34.0
South Dakota,1991,34.8
South Dakota,1992,33.8
South Dakota,1993,31.2
South Dakota,1994,33.0
South Dakota,1995,33.6
South Dakota,1996,30.2
South Dakota,1997,33.4
South Dakota,1998,36.2
South Dakota,1999,35.6
South Dakota,2000,33.5
South Dakota,2001,34.6
South Dakota,2002,33.8
South Dakota,2003,33.7
South Dakota,2004,34.0
South Dakota,2005,35.0
South Dakota,2006,35.7
South Dakota,2007,34.8
South Dakota,2008,31.7
South Dakota,2009,32.1
South Dakota,2010,33.9
South Dakota,2011,33.2
South Dakota,2012,35.9
South Dakota,2013,32.4
South Dakota,2014,31.7
South Dakota,2015,35.2
South Dakota,2016,36.1
South Dakota,2017,34.5
South Dakota,2018,32.7
South Dakota,2019,31.9
South Dakota,2020,34.4
South Dakota,2021,35.5
South Dakota,2022,32.2
South Dakota,2023,34.8
Tennessee,1974,46.5
Tennessee,1975,46.8
Tennessee,1976,43.4
Tennessee,1977,45.8
Tennessee,1978,44.7
Tennessee,1979,45.1
Tennessee,1980,45.6
Tennessee,1981,45.1
Tennessee,1982,46.5
Tennessee,1983,45.5
Tennessee,1984,46.1
Tennessee,1985,46.4
Tennessee,1986,47.6
Tennessee,1987,46.6
Tennessee,1988,44.5
Tennessee,1989,45.9
Tennessee,1990,47.8
Tennessee,1991,48.4
Tennessee,1992,46.4
Tennessee,1993,46.2
Tennessee,1994,46.5
Tennessee,1995,46.2
Tennessee,1996,45.6
Tennessee,1997,46.0
Tennessee,1998,49.5
Tennessee,1999,47.2
Tennessee,2000,46.5
Tennessee,2001,46.9
Tennessee,2002,47.8
Tennessee,2003,46.9
Tennessee,2004,48.0
Tennessee,2005,47.6
Tennessee,2006,47.5
Tennessee,2007,48.1
Tennessee,2008,46.2
Tennessee,2009,47.1
Tennessee,2010,46.7
Tennessee,2011,47.9
Tennessee,2012,48.8
Tennessee,2013,46.8
Tennessee,2014,45.8
Tennessee,2015,48.3
Tennessee,2016,48.9
Tennessee,2017,49.1
Tennessee,2018,49.0
Tennessee,2019,49.0
Tennessee,2020,48.9
Tennessee,2021,48.4
Tennessee,2022,47.1
Tennessee,2023,48.8
Texas,1974,52.1
Texas,1975,51.1
Texas,1976,50.2
Texas,1977,52.6
Texas,1978,51.8
Texas,1979,50.7
Texas,1980,52.3
Texas,1981,53.1
Texas,1982,52.6
Texas,1983,51.2
Texas,1984,52.5
Texas,1985,52.5
Texas,1986,53.8
Texas,1987,51.6
Texas,1988,51.3
Texas,1989,51.6
Texas,1990,53.4
Texas,1991,53.1
Texas,1992,52.7
Texas,1993,51.9
Texas,1994,53.3
Texas,1995,52.8
Texas,1996,52.5
Texas,1997,52.2
Texas,1998,54.8
Texas,1999,53.6
Texas,2000,54.1
Texas,2001,53.8
Texas,2002,53.1
Texas,2003,53.3
Texas,2004,54.0
Texas,2005,53.5
Texas,2006,54.1
Texas,2007,53.2
Texas,2008,52.3
Texas,2009,53.0
Texas,2010,52.7
Texas,2011,53.8
Texas,2012,54.9
Texas,2013,52.6
Texas,2014,52.6
Texas,2015,54.2
Texas,2016,55.2
Texas,2017,54.9
Texas,2018,53.9
Texas,2019,53.8
Texas,2020,54.2
Texas,2021,54.1
Texas,2022,53.5
Texas,2023,55.6
Utah,1974,34.6
Utah,1975,33.2
Utah,1976,33.9
Utah,1977,35.7
Utah,1978,35.6
Utah,1979,33.8
Utah,1980,35.9
Utah,1981,37.5
Utah,1982,34.6
Utah,1983,36.5
Utah,1984,33.8
Utah,1985,34.6
Utah,1986,37.0
Utah,1987,35.9
Utah,1988,35.4
Utah,1989,35.2
Utah,1990,35.9
Utah,1991,35.1
Utah,1992,36.4
Utah,1993,34.4
Utah,1994,36.9
Utah,1995,36.4
Utah,1996,36.6
Utah,1997,35.7
Utah,1998,36.1
Utah,1999,35.8
Utah,2000,37.5
Utah,2001,37.0
Utah,2002,35.4
Utah,2003,37.7
Utah,2004,36.3
Utah,2005,36.7
Utah,2006,36.1
Utah,2007,36.5
Utah,2008,34.8
Utah,2009,35.3
Utah,2010,35.8
Utah,2011,34.9
Utah,2012,37.6
Utah,2013,35.1
Utah,2014,37.7
Utah,2015,38.2
Utah,2016,37.5
Utah,2017,37.7
Utah,2018,37.5
Utah,2019,35.5
Utah,2020,36.8
Utah,2021,37.7
Utah,2022,36.2
Utah,2023,35.9
Vermont,1974,30.6
Vermont,1975,31.8
Vermont,1976,29.5
Vermont,1977,31.6
Vermont,1978,28.8
Vermont,1979,32.3
Vermont,1980,29.9
Vermont,1981,31.9
Vermont,1982,30.0
Vermont,1983,32.3
Vermont,1984,31.8
Vermont,1985,30.9
Vermont,1986,31.3
Vermont,1987,31.5
Vermont,1988,30.9
Vermont,1989,29.9
Vermont,1990,33.6
Vermont,1991,32.7
Vermont,1992,30.2
Vermont,1993,30.4
Vermont,1994,30.6
Vermont,1995,31.9
Vermont,1996,32.2
Vermont,1997,30.5
Vermont,1998,35.1
Vermont,1999,33.4
Vermont,2000,31.7
Vermont,2001,32.8
Vermont,2002,33.3
Vermont,2003,31.0
Vermont,2004,31.3
Vermont,2005,32.9
Vermont,2006,35.5
Vermont,2007,31.7
Vermont,2008,32.6
Vermont,2009,32.1
Vermont,2010,35.2
Vermont,2011,34.3
Vermont,2012,35.5
Vermont,2013,33.2
Vermont,2014,31.7
Vermont,2015,31.5
Vermont,2016,34.0
Vermont,2017,33.6
Vermont,2018,33.4
Vermont,2019,31.4
Vermont,2020,34.3
Vermont,2021,35.1
Vermont,2022,33.1
Vermont,2023,36.1
Virginia,1974,44.1
Virginia,1975,44.5
Virginia,1976,41.9
Virginia,1977,43.5
Virginia,1978,42.6
Virginia,1979,43.2
Virginia,1980,43.1
Virginia,1981,42.3
Virginia,1982,43.8
Virginia,1983,43.5
Virginia,1984,44.2
Virginia,1985,44.4
Virginia,1986,44.7
Virginia,1987,44.0
Virginia,1988,42.1
Virginia,1989,43.7
Virginia,1990,45.9
Virginia,1991,45.7
Virginia,1992,44.0
Virginia,1993,44.1
Virginia,1994,43.9
Virginia,1995,44.0
Virginia,1996,43.4
Virginia,1997,43.3
Virginia,1998,46.4
Virginia,1999,44.6
Virginia,2000,43.7
Virginia,2001,44.0
Virginia,2002,45.4
Virginia,2003,44.7
Virginia,2004,45.5
Virginia,2005,45.1
Virginia,2006,45.2
Virginia,2007,45.3
Virginia,2008,44.5
Virginia,2009,44.7
Virginia,2010,44.8
Virginia,2011,46.0
Virginia,2012,46.4
Virginia,2013,44.8
Virginia,2014,43.6
Virginia,2015,45.9
Virginia,2016,46.4
Virginia,2017,46.5
Virginia,2018,46.6
Virginia,2019,46.8
Virginia,2020,47.1
Virginia,2021,46.1
Virginia,2022,45.1
Virginia,2023,46.3
Washington,1974,36.8
Washington,1975,35.7
Washington,1976,36.0
Washington,1977,36.4
Washington,1978,36.5
Washington,1979,36.3
Washington,1980,36.8
Washington,1981,37.6
Washington,1982,35.8
Washington,1983,37.4
Washington,1984,35.9
Washington,1985,33.9
Washington,1986,37.8
Washington,1987,37.9
Washington,1988,37.3
Washington,1989,36.9
Washington,1990,37.6
Washington,1991,37.5
Washington,1992,38.8
Washington,1993,36.2
Washington,1994,38.0
Washington,1995,38.0
Washington,1996,36.0
Washington,1997,37.8
Washington,1998,39.1
Washington,1999,37.3
Washington,2000,36.6
Washington,2001,37.2
Washington,2002,37.0
Washington,2003,38.2
Washington,2004,38.7
Washington,2005,37.5
Washington,2006,37.5
Washington,2007,37.1
Washington,2008,35.9
Washington,2009,36.4
Washington,2010,38.0
Washington,2011,36.1
Washington,2012,37.5
Washington,2013,37.5
Washington,2014,38.8
Washington,2015,39.9
Washington,2016,39.2
Washington,2017,37.2
Washington,2018,38.4
Washington,2019,37.2
Washington,2020,38.3
Washington,2021,38.4
Washington,2022,37.3
Washington,2023,38.8
West Virginia,1974,41.0
West Virginia,1975,41.6
West Virginia,1976,38.0
West Virginia,1977,39.7
West Virginia,1978,39.1
West Virginia,1979,39.6
West Virginia,1980,39.5
West Virginia,1981,38.8
West Virginia,1982,40.4
West Virginia,1983,40.2
West Virginia,1984,40.8
West Virginia,1985,40.7
West Virginia,1986,41.5
West Virginia,1987,41.0
West Virginia,1988,38.8
West Virginia,1989,40.2
West Virginia,1990,42.6
West Virginia,1991,42.7
West Virginia,1992,40.9
West Virginia,1993,41.1
West Virginia,1994,40.4
West Virginia,1995,40.6
West Virginia,1996,40.2
West Virginia,1997,40.2
West Virginia,1998,43.4
West Virginia,1999,40.9
West Virginia,2000,40.7
West Virginia,2001,41.2
West Virginia,2002,42.3
West Virginia,2003,41.5
West Virginia,2004,42.3
West Virginia,2005,41.9
West Virginia,2006,42.0
West Virginia,2007,41.8
West Virginia,2008,40.5
West Virginia,2009,41.2
West Virginia,2010,41.3
West Virginia,2011,42.9
West Virginia,2012,42.9
West Virginia,2013,41.5
West Virginia,2014,39.9
West Virginia,2015,42.2
West Virginia,2016,43.0
West Virginia,2017,43.2
West Virginia,2018,43.3
West Virginia,2019,43.1
West Virginia,2020,43.4
West Virginia,2021,42.7
West Virginia,2022,41.0
West Virginia,2023,42.6
Wisconsin,1974,31.8
Wisconsin,1975,32.1
Wisconsin,1976,29.4
Wisconsin,1977,32.4
Wisconsin,1978,30.2
Wisconsin,1979,30.2
Wisconsin,1980,31.7
Wisconsin,1981,33.0
Wisconsin,1982,31.2
Wisconsin,1983,33.9
Wisconsin,1984,33.1
Wisconsin,1985,30.9
Wisconsin,1986,33.2
Wisconsin,1987,35.9
Wisconsin,1988,31.9
Wisconsin,1989,30.1
Wisconsin,1990,33.8
Wisconsin,1991,33.4
Wisconsin,1992,33.1
Wisconsin,1993,32.1
Wisconsin,1994,32.5
Wisconsin,1995,32.9
Wisconsin,1996,30.2
Wisconsin,1997,32.8
Wisconsin,1998,37.2
Wisconsin,1999,34.8
Wisconsin,2000,33.5
Wisconsin,2001,35.0
Wisconsin,2002,34.7
Wisconsin,2003,32.4
Wisconsin,2004,33.2
Wisconsin,2005,34.6
Wisconsin,2006,35.9
Wisconsin,2007,34.4
Wisconsin,2008,31.1
Wisconsin,2009,32.0
Wisconsin,2010,35.1
Wisconsin,2011,34.3
Wisconsin,2012,36.6
Wisconsin,2013,31.6
Wisconsin,2014,30.2
Wisconsin,2015,34.7
Wisconsin,2016,36.6
Wisconsin,2017,34.9
Wisconsin,2018,33.3
Wisconsin,2019,32.5
Wisconsin,2020,34.9
Wisconsin,2021,35.4
Wisconsin,2022,32.7
Wisconsin,2023,36.3
Wyoming,1974,28.0
Wyoming,1975,26.9
Wyoming,1976,28.0
Wyoming,1977,28.8
Wyoming,1978,26.6
Wyoming,1979,27.0
Wyoming,1980,29.2
Wyoming,1981,30.7
Wyoming,1982,27.6
Wyoming,1983,28.9
Wyoming,1984,27.5
Wyoming,1985,26.0
Wyoming,1986,29.8
Wyoming,1987,29.3
Wyoming,1988,29.2
Wyoming,1989,28.1
Wyoming,1990,28.8
Wyoming,1991,29.1
Wyoming,1992,29.4
Wyoming,1993,26.5
Wyoming,1994,29.7
Wyoming,1995,29.3
Wyoming,1996,28.1
Wyoming,1997,28.6
Wyoming,1998,30.3
Wyoming,1999,30.0
Wyoming,2000,29.3
Wyoming,2001,30.0
Wyoming,2002,28.1
Wyoming,2003,30.2
Wyoming,2004,29.7
Wyoming,2005,29.7
Wyoming,2006,29.9
Wyoming,2007,30.1
Wyoming,2008,27.6
Wyoming,2009,28.1
Wyoming,2010,29.0
Wyoming,2011,28.4
Wyoming,2012,31.1
Wyoming,2013,28.9
Wyoming,2014,29.4
Wyoming,2015,31.3
Wyoming,2016,30.9
Wyoming,2017,30.4
Wyoming,2018,29.4
Wyoming,2019,27.8
Wyoming,2020,29.1
Wyoming,2021,30.4
Wyoming,2022,28.5
Wyoming,2023,29.4
