State,Year,August Palmer Drought Severity Index (PDSI)
Alabama,1974,1.99
Alabama,1975,4.54
Alabama,1976,2.65
Alabama,1977,-1.96
Alabama,1978,-0.37
Alabama,1979,2.32
Alabama,1980,-2.11
Alabama,1981,-2.54
Alabama,1982,0.73
Alabama,1983,1.72
Alabama,1984,0.84
Alabama,1985,0.96
Alabama,1986,-3.35
Alabama,1987,-1.64
Alabama,1988,-3.36
Alabama,1989,2.59
Alabama,1990,-1.89
Alabama,1991,-0.29
Alabama,1992,1.49
Alabama,1993,-1.55
Alabama,1994,2.02
Alabama,1995,-1.53
Alabama,1996,1.29
Alabama,1997,2.11
Alabama,1998,-1.85
Alabama,1999,-1.0
Alabama,2000,-5.25
Alabama,2001,1.71
Alabama,2002,-1.92
Alabama,2003,4.61
Alabama,2004,1.21
Alabama,2005,3.65
Alabama,2006,-3.37
Alabama,2007,-5.05
Alabama,2008,1.52
Alabama,2009,1.56
Alabama,2010,-1.71
Alabama,2011,-3.87
Alabama,2012,0.64
Alabama,2013,3.3
Alabama,2014,-0.72
Alabama,2015,-0.99
Alabama,2016,-1.76
Alabama,2017,3.36
Alabama,2018,0.74
Alabama,2019,-1.02
Alabama,2020,2.52
Alabama,2021,4.43
Alabama,2022,0.68
Alabama,2023,-0.17
Arizona,1974,-3.37
Arizona,1975,-1.83
Arizona,1976,-1.72
Arizona,1977,-2.35
Arizona,1978,2.7
Arizona,1979,6.12
Arizona,1980,-0.52
Arizona,1981,-2.39
Arizona,1982,1.18
Arizona,1983,5.72
Arizona,1984,2.11
Arizona,1985,2.35
Arizona,1986,0.38
Arizona,1987,-0.32
Arizona,1988,1.83
Arizona,1989,-3.87
Arizona,1990,1.04
Arizona,1991,-0.87
Arizona,1992,5.27
Arizona,1993,-0.25
Arizona,1994,-2.77
Arizona,1995,-0.81
Arizona,1996,-5.19
Arizona,1997,0.01
Arizona,1998,-0.4
Arizona,1999,1.53
Arizona,2000,-4.49
Arizona,2001,-0.61
Arizona,2002,-6.2
Arizona,2003,-3.88
Arizona,2004,-4.37
Arizona,2005,-0.17
Arizona,2006,-3.49
Arizona,2007,-4.11
Arizona,2008,-0.6
Arizona,2009,-4.06
Arizona,2010,-0.27
Arizona,2011,-3.48
Arizona,2012,-3.43
Arizona,2013,-2.57
Arizona,2014,-3.34
Arizona,2015,0.24
Arizona,2016,-2.39
Arizona,2017,-1.28
Arizona,2018,-4.49
Arizona,2019,-1.91
Arizona,2020,-2.57
Arizona,2021,-3.14
Arizona,2022,0.96
Arizona,2023,-1.37
Arkansas,1974,3.8
Arkansas,1975,3.7
Arkansas,1976,-0.31
Arkansas,1977,-1.71
Arkansas,1978,-0.88
Arkansas,1979,3.64
Arkansas,1980,-3.06
Arkansas,1981,1.71
Arkansas,1982,0.83
Arkansas,1983,-1.07
Arkansas,1984,0.6
Arkansas,1985,-0.95
Arkansas,1986,-0.37
Arkansas,1987,-1.93
Arkansas,1988,-2.04
Arkansas,1989,3.3
Arkansas,1990,1.15
Arkansas,1991,1.48
Arkansas,1992,2.03
Arkansas,1993,-1.02
Arkansas,1994,1.9
Arkansas,1995,-0.9
Arkansas,1996,0.92
Arkansas,1997,2.01
Arkansas,1998,-2.36
Arkansas,1999,-1.75
Arkansas,2000,-2.66
Arkansas,2001,-1.7
Arkansas,2002,-0.44
Arkansas,2003,1.07
Arkansas,2004,1.62
Arkansas,2005,-2.4
Arkansas,2006,-3.52
Arkansas,2007,-1.62
Arkansas,2008,2.52
Arkansas,2009,3.36
Arkansas,2010,-2.11
Arkansas,2011,-2.47
Arkansas,2012,-3.57
Arkansas,2013,0.86
Arkansas,2014,1.86
Arkansas,2015,2.05
Arkansas,2016,2.89
Arkansas,2017,2.75
Arkansas,2018,0.89
Arkansas,2019,4.96
Arkansas,2020,4.58
Arkansas,2021,3.1
Arkansas,2022,-0.31
Arkansas,2023,-0.02
California,1974,-0.48
California,1975,1.25
California,1976,-3.19
California,1977,0.34
California,1978,2.32
California,1979,0.37
California,1980,-0.16
California,1981,-2.64
California,1982,3.07
California,1983,6.45
California,1984,0.5
California,1985,-3.27
California,1986,-1.09
California,1987,-3.4
California,1988,-1.32
California,1989,-2.08
California,1990,-2.54
California,1991,-1.3
California,1992,-2.86
California,1993,2.89
California,1994,-2.41
California,1995,5.71
California,1996,2.16
California,1997,-2.86
California,1998,6.6
California,1999,0.52
California,2000,-0.79
California,2001,-2.89
California,2002,-3.28
California,2003,-0.01
California,2004,-3.23
California,2005,4.08
California,2006,-1.1
California,2007,-4.42
California,2008,-4.2
California,2009,-3.28
California,2010,1.53
California,2011,3.5
California,2012,-1.58
California,2013,-3.23
California,2014,-6.35
California,2015,-4.75
California,2016,-2.55
California,2017,-0.98
California,2018,-2.71
California,2019,-0.34
California,2020,-1.83
California,2021,-6.87
California,2022,-4.79
California,2023,-0.24
Colorado,1974,-2.29
Colorado,1975,-0.33
Colorado,1976,-1.22
Colorado,1977,-3.96
Colorado,1978,-2.48
Colorado,1979,3.49
Colorado,1980,-1.5
Colorado,1981,-3.45
Colorado,1982,1.78
Colorado,1983,4.5
Colorado,1984,4.49
Colorado,1985,2.79
Colorado,1986,2.8
Colorado,1987,3.49
Colorado,1988,-0.3
Colorado,1989,-2.28
Colorado,1990,-2.44
Colorado,1991,1.03
Colorado,1992,2.19
Colorado,1993,2.7
Colorado,1994,-1.56
Colorado,1995,4.51
Colorado,1996,0.74
Colorado,1997,3.82
Colorado,1998,3.32
Colorado,1999,4.29
Colorado,2000,-3.22
Colorado,2001,-2.38
Colorado,2002,-9.09
Colorado,2003,-4.88
Colorado,2004,0.16
Colorado,2005,-0.4
Colorado,2006,0.3
Colorado,2007,0.19
Colorado,2008,0.89
Colorado,2009,1.11
Colorado,2010,1.37
Colorado,2011,-0.38
Colorado,2012,-6.75
Colorado,2013,-5.9
Colorado,2014,1.26
Colorado,2015,2.77
Colorado,2016,-0.31
Colorado,2017,0.67
Colorado,2018,-6.27
Colorado,2019,-0.42
Colorado,2020,-5.54
Colorado,2021,-4.94
Colorado,2022,-4.95
Colorado,2023,2.47
Connecticut,1974,-0.82
Connecticut,1975,1.04
Connecticut,1976,1.88
Connecticut,1977,-0.71
Connecticut,1978,-0.41
Connecticut,1979,-0.75
Connecticut,1980,-1.09
Connecticut,1981,-2.52
Connecticut,1982,-0.48
Connecticut,1983,-1.42
Connecticut,1984,-0.74
Connecticut,1985,1.59
Connecticut,1986,1.25
Connecticut,1987,-1.8
Connecticut,1988,-0.52
Connecticut,1989,3.38
Connecticut,1990,2.57
Connecticut,1991,1.13
Connecticut,1992,2.22
Connecticut,1993,-2.55
Connecticut,1994,0.91
Connecticut,1995,-2.9
Connecticut,1996,1.57
Connecticut,1997,-0.32
Connecticut,1998,-0.53
Connecticut,1999,-3.12
Connecticut,2000,2.02
Connecticut,2001,-0.58
Connecticut,2002,0.02
Connecticut,2003,1.26
Connecticut,2004,0.61
Connecticut,2005,-1.91
Connecticut,2006,3.19
Connecticut,2007,-1.14
Connecticut,2008,1.89
Connecticut,2009,2.73
Connecticut,2010,-2.12
Connecticut,2011,2.99
Connecticut,2012,-2.07
Connecticut,2013,-0.16
Connecticut,2014,-0.94
Connecticut,2015,-2.57
Connecticut,2016,-3.85
Connecticut,2017,-2.18
Connecticut,2018,0.68
Connecticut,2019,2.04
Connecticut,2020,-2.31
Connecticut,2021,2.04
Connecticut,2022,-2.92
Connecticut,2023,2.37
Delaware,1974,-0.74
Delaware,1975,2.33
Delaware,1976,-2.65
Delaware,1977,-3.09
Delaware,1978,2.28
Delaware,1979,2.85
Delaware,1980,-1.54
Delaware,1981,-1.73
Delaware,1982,-0.49
Delaware,1983,1.48
Delaware,1984,-0.72
Delaware,1985,-2.46
Delaware,1986,-3.49
Delaware,1987,-3.26
Delaware,1988,-2.31
Delaware,1989,3.97
Delaware,1990,-0.15
Delaware,1991,-1.95
Delaware,1992,0.64
Delaware,1993,-1.79
Delaware,1994,-0.3
Delaware,1995,-3.23
Delaware,1996,2.96
Delaware,1997,-0.84
Delaware,1998,-1.26
Delaware,1999,-3.71
Delaware,2000,2.1
Delaware,2001,1.42
Delaware,2002,-3.8
Delaware,2003,3.7
Delaware,2004,2.39
Delaware,2005,-0.64
Delaware,2006,1.25
Delaware,2007,-2.25
Delaware,2008,-2.45
Delaware,2009,1.95
Delaware,2010,-3.0
Delaware,2011,-1.98
Delaware,2012,0.06
Delaware,2013,3.07
Delaware,2014,-0.48
Delaware,2015,-0.66
Delaware,2016,0.27
Delaware,2017,1.97
Delaware,2018,1.52
Delaware,2019,-0.78
Delaware,2020,1.28
Delaware,2021,-0.51
Delaware,2022,-2.83
Delaware,2023,0.11
Florida,1974,1.42
Florida,1975,1.01
Florida,1976,-0.92
Florida,1977,-2.7
Florida,1978,-0.17
Florida,1979,0.61
Florida,1980,-1.52
Florida,1981,-3.23
Florida,1982,2.07
Florida,1983,1.57
Florida,1984,-0.57
Florida,1985,0.75
Florida,1986,-1.82
Florida,1987,-2.9
Florida,1988,-1.26
Florida,1989,-2.03
Florida,1990,-2.53
Florida,1991,-0.19
Florida,1992,0.78
Florida,1993,-3.08
Florida,1994,1.41
Florida,1995,2.39
Florida,1996,-0.85
Florida,1997,-0.27
Florida,1998,-4.17
Florida,1999,-2.73
Florida,2000,-5.18
Florida,2001,-2.71
Florida,2002,1.11
Florida,2003,3.07
Florida,2004,0.79
Florida,2005,-0.1
Florida,2006,-3.89
Florida,2007,-6.22
Florida,2008,-1.15
Florida,2009,-0.7
Florida,2010,-1.62
Florida,2011,-5.14
Florida,2012,2.12
Florida,2013,2.66
Florida,2014,-1.05
Florida,2015,-1.6
Florida,2016,-1.04
Florida,2017,1.87
Florida,2018,2.1
Florida,2019,-0.88
Florida,2020,0.5
Florida,2021,1.32
Florida,2022,-0.37
Florida,2023,-1.51
Georgia,1974,1.6
Georgia,1975,3.09
Georgia,1976,1.77
Georgia,1977,-0.03
Georgia,1978,-0.63
Georgia,1979,1.39
Georgia,1980,-2.55
Georgia,1981,-3.51
Georgia,1982,0.63
Georgia,1983,-1.94
Georgia,1984,-0.12
Georgia,1985,1.06
Georgia,1986,-3.75
Georgia,1987,-2.14
Georgia,1988,-3.52
Georgia,1989,2.27
Georgia,1990,-2.91
Georgia,1991,3.54
Georgia,1992,1.79
Georgia,1993,-3.06
Georgia,1994,2.97
Georgia,1995,0.42
Georgia,1996,0.04
Georgia,1997,0.07
Georgia,1998,-2.52
Georgia,1999,-3.3
Georgia,2000,-4.98
Georgia,2001,-1.58
Georgia,2002,-4.1
Georgia,2003,4.27
Georgia,2004,0.39
Georgia,2005,3.91
Georgia,2006,-3.62
Georgia,2007,-4.6
Georgia,2008,-2.67
Georgia,2009,0.17
Georgia,2010,-1.65
Georgia,2011,-5.27
Georgia,2012,-3.45
Georgia,2013,5.09
Georgia,2014,-1.33
Georgia,2015,0.15
Georgia,2016,-2.94
Georgia,2017,1.09
Georgia,2018,1.62
Georgia,2019,-2.17
Georgia,2020,1.61
Georgia,2021,2.83
Georgia,2022,-1.42
Georgia,2023,1.07
Idaho,1974,-1.92
Idaho,1975,2.68
Idaho,1976,2.52
Idaho,1977,0.88
Idaho,1978,1.86
Idaho,1979,-1.87
Idaho,1980,2.19
Idaho,1981,1.35
Idaho,1982,3.2
Idaho,1983,5.1
Idaho,1984,5.6
Idaho,1985,-2.36
Idaho,1986,-0.82
Idaho,1987,-2.24
Idaho,1988,-4.18
Idaho,1989,-1.92
Idaho,1990,-0.92
Idaho,1991,-0.25
Idaho,1992,-3.65
Idaho,1993,4.0
Idaho,1994,-3.79
Idaho,1995,4.07
Idaho,1996,2.14
Idaho,1997,3.22
Idaho,1998,3.02
Idaho,1999,0.39
Idaho,2000,-3.3
Idaho,2001,-4.36
Idaho,2002,-2.99
Idaho,2003,-3.19
Idaho,2004,1.33
Idaho,2005,1.34
Idaho,2006,-1.82
Idaho,2007,-4.07
Idaho,2008,-1.71
Idaho,2009,2.22
Idaho,2010,2.41
Idaho,2011,-0.2
Idaho,2012,-0.86
Idaho,2013,-2.84
Idaho,2014,-1.77
Idaho,2015,-2.68
Idaho,2016,-3.01
Idaho,2017,-1.86
Idaho,2018,-1.37
Idaho,2019,-0.82
Idaho,2020,-0.4
Idaho,2021,-4.64
Idaho,2022,-1.58
Idaho,2023,0.59
Illinois,1974,3.25
Illinois,1975,2.39
Illinois,1976,-1.34
Illinois,1977,1.45
Illinois,1978,-0.02
Illinois,1979,1.99
Illinois,1980,0.55
Illinois,1981,3.71
Illinois,1982,3.04
Illinois,1983,1.29
Illinois,1984,-1.74
Illinois,1985,1.99
Illinois,1986,0.94
Illinois,1987,-1.38
Illinois,1988,-4.13
Illinois,1989,-1.51
Illinois,1990,2.92
Illinois,1991,-2.59
Illinois,1992,0.99
Illinois,1993,4.69
Illinois,1994,-0.74
Illinois,1995,-0.47
Illinois,1996,1.48
Illinois,1997,-0.04
Illinois,1998,2.09
Illinois,1999,-0.51
Illinois,2000,1.75
Illinois,2001,0.37
Illinois,2002,-0.42
Illinois,2003,0.81
Illinois,2004,1.66
Illinois,2005,-2.9
Illinois,2006,0.26
Illinois,2007,-1.0
Illinois,2008,2.95
Illinois,2009,4.95
Illinois,2010,4.0
Illinois,2011,-0.8
Illinois,2012,-4.28
Illinois,2013,-0.74
Illinois,2014,1.96
Illinois,2015,3.56
Illinois,2016,3.71
Illinois,2017,-0.27
Illinois,2018,1.76
Illinois,2019,4.15
Illinois,2020,3.09
Illinois,2021,2.01
Illinois,2022,0.82
Illinois,2023,-1.22
Indiana,1974,1.69
Indiana,1975,2.24
Indiana,1976,0.15
Indiana,1977,1.53
Indiana,1978,2.09
Indiana,1979,4.1
Indiana,1980,2.33
Indiana,1981,2.41
Indiana,1982,1.81
Indiana,1983,-1.97
Indiana,1984,-1.54
Indiana,1985,1.02
Indiana,1986,0.71
Indiana,1987,-1.08
Indiana,1988,-3.81
Indiana,1989,2.21
Indiana,1990,3.88
Indiana,1991,-2.68
Indiana,1992,2.04
Indiana,1993,2.97
Indiana,1994,-0.58
Indiana,1995,-0.4
Indiana,1996,2.12
Indiana,1997,2.98
Indiana,1998,2.6
Indiana,1999,-1.75
Indiana,2000,1.57
Indiana,2001,1.21
Indiana,2002,-1.54
Indiana,2003,2.54
Indiana,2004,3.34
Indiana,2005,-0.78
Indiana,2006,1.9
Indiana,2007,-1.49
Indiana,2008,2.85
Indiana,2009,2.84
Indiana,2010,-0.78
Indiana,2011,1.78
Indiana,2012,-0.04
Indiana,2013,-0.7
Indiana,2014,2.18
Indiana,2015,3.69
Indiana,2016,3.15
Indiana,2017,2.53
Indiana,2018,2.79
Indiana,2019,4.27
Indiana,2020,-0.07
Indiana,2021,1.35
Indiana,2022,0.65
Indiana,2023,-0.62
Iowa,1974,2.92
Iowa,1975,-0.75
Iowa,1976,-2.1
Iowa,1977,1.6
Iowa,1978,2.22
Iowa,1979,3.26
Iowa,1980,1.36
Iowa,1981,1.58
Iowa,1982,3.5
Iowa,1983,2.31
Iowa,1984,2.49
Iowa,1985,0.02
Iowa,1986,2.36
Iowa,1987,1.79
Iowa,1988,-4.27
Iowa,1989,-4.97
Iowa,1990,3.64
Iowa,1991,1.2
Iowa,1992,1.78
Iowa,1993,9.15
Iowa,1994,2.53
Iowa,1995,-0.77
Iowa,1996,1.49
Iowa,1997,-0.71
Iowa,1998,2.59
Iowa,1999,-0.06
Iowa,2000,-0.4
Iowa,2001,-0.78
Iowa,2002,0.81
Iowa,2003,-1.13
Iowa,2004,1.93
Iowa,2005,-0.51
Iowa,2006,0.5
Iowa,2007,3.3
Iowa,2008,5.32
Iowa,2009,4.7
Iowa,2010,6.52
Iowa,2011,-0.57
Iowa,2012,-3.95
Iowa,2013,-1.65
Iowa,2014,3.01
Iowa,2015,3.78
Iowa,2016,4.17
Iowa,2017,1.89
Iowa,2018,2.48
Iowa,2019,4.13
Iowa,2020,-1.46
Iowa,2021,-1.08
Iowa,2022,-1.07
Iowa,2023,-2.37
Kansas,1974,2.42
Kansas,1975,-0.22
Kansas,1976,-1.29
Kansas,1977,1.53
Kansas,1978,-0.76
Kansas,1979,2.04
Kansas,1980,-2.03
Kansas,1981,0.73
Kansas,1982,2.48
Kansas,1983,-1.67
Kansas,1984,-1.21
Kansas,1985,2.91
Kansas,1986,2.91
Kansas,1987,4.72
Kansas,1988,-1.82
Kansas,1989,1.14
Kansas,1990,0.38
Kansas,1991,-3.49
Kansas,1992,3.02
Kansas,1993,7.8
Kansas,1994,2.74
Kansas,1995,3.88
Kansas,1996,1.37
Kansas,1997,3.19
Kansas,1998,2.24
Kansas,1999,4.15
Kansas,2000,-1.36
Kansas,2001,-0.23
Kansas,2002,-3.37
Kansas,2003,-1.11
Kansas,2004,1.63
Kansas,2005,3.26
Kansas,2006,-2.44
Kansas,2007,2.69
Kansas,2008,3.21
Kansas,2009,4.16
Kansas,2010,3.84
Kansas,2011,-2.6
Kansas,2012,-3.9
Kansas,2013,-1.29
Kansas,2014,0.69
Kansas,2015,2.26
Kansas,2016,3.0
Kansas,2017,0.36
Kansas,2018,0.36
Kansas,2019,6.26
Kansas,2020,-0.27
Kansas,2021,-0.49
Kansas,2022,-3.35
Kansas,2023,-3.04
Kentucky,1974,2.89
Kentucky,1975,2.32
Kentucky,1976,1.48
Kentucky,1977,1.36
Kentucky,1978,1.83
Kentucky,1979,4.73
Kentucky,1980,-1.43
Kentucky,1981,1.23
Kentucky,1982,1.1
Kentucky,1983,-1.97
Kentucky,1984,-1.08
Kentucky,1985,1.19
Kentucky,1986,-2.79
Kentucky,1987,-2.49
Kentucky,1988,-3.53
Kentucky,1989,3.41
Kentucky,1990,1.29
Kentucky,1991,-1.89
Kentucky,1992,1.64
Kentucky,1993,-0.78
Kentucky,1994,-0.41
Kentucky,1995,-0.78
Kentucky,1996,1.79
Kentucky,1997,-0.81
Kentucky,1998,-0.5
Kentucky,1999,-3.47
Kentucky,2000,-1.58
Kentucky,2001,0.89
Kentucky,2002,-1.51
Kentucky,2003,3.15
Kentucky,2004,2.98
Kentucky,2005,-0.57
Kentucky,2006,0.43
Kentucky,2007,-3.54
Kentucky,2008,-1.04
Kentucky,2009,2.25
Kentucky,2010,-0.89
Kentucky,2011,2.19
Kentucky,2012,-2.59
Kentucky,2013,2.69
Kentucky,2014,2.05
Kentucky,2015,3.54
Kentucky,2016,3.31
Kentucky,2017,1.28
Kentucky,2018,2.69
Kentucky,2019,4.63
Kentucky,2020,4.54
Kentucky,2021,3.54
Kentucky,2022,2.94
Kentucky,2023,1.14
Louisiana,1974,2.51
Louisiana,1975,4.95
Louisiana,1976,-0.35
Louisiana,1977,1.06
Louisiana,1978,0.56
Louisiana,1979,2.35
Louisiana,1980,-2.55
Louisiana,1981,-2.37
Louisiana,1982,0.02
Louisiana,1983,3.35
Louisiana,1984,1.66
Louisiana,1985,0.24
Louisiana,1986,-2.22
Louisiana,1987,0.77
Louisiana,1988,0.42
Louisiana,1989,3.37
Louisiana,1990,-1.84
Louisiana,1991,4.11
Louisiana,1992,3.1
Louisiana,1993,-0.94
Louisiana,1994,1.11
Louisiana,1995,-0.57
Louisiana,1996,0.74
Louisiana,1997,1.6
Louisiana,1998,-3.43
Louisiana,1999,-2.08
Louisiana,2000,-4.7
Louisiana,2001,1.98
Louisiana,2002,0.01
Louisiana,2003,0.9
Louisiana,2004,2.22
Louisiana,2005,-1.83
Louisiana,2006,-3.77
Louisiana,2007,-0.36
Louisiana,2008,0.77
Louisiana,2009,-1.85
Louisiana,2010,-2.23
Louisiana,2011,-5.91
Louisiana,2012,1.76
Louisiana,2013,-0.88
Louisiana,2014,2.06
Louisiana,2015,-1.59
Louisiana,2016,4.46
Louisiana,2017,4.8
Louisiana,2018,-2.39
Louisiana,2019,3.06
Louisiana,2020,2.24
Louisiana,2021,4.34
Louisiana,2022,1.74
Louisiana,2023,-3.72
Maine,1974,3.16
Maine,1975,-1.77
Maine,1976,3.75
Maine,1977,1.62
Maine,1978,-2.16
Maine,1979,-0.49
Maine,1980,-1.81
Maine,1981,1.65
Maine,1982,-0.49
Maine,1983,-0.67
Maine,1984,-0.64
Maine,1985,0.51
Maine,1986,1.74
Maine,1987,-2.05
Maine,1988,1.09
Maine,1989,1.09
Maine,1990,1.4
Maine,1991,1.85
Maine,1992,0.62
Maine,1993,-1.3
Maine,1994,-0.56
Maine,1995,-2.43
Maine,1996,3.19
Maine,1997,0.45
Maine,1998,-0.34
Maine,1999,-2.56
Maine,2000,-0.45
Maine,2001,-3.62
Maine,2002,-2.77
Maine,2003,-2.16
Maine,2004,1.83
Maine,2005,2.47
Maine,2006,4.52
Maine,2007,2.64
Maine,2008,4.14
Maine,2009,4.96
Maine,2010,-1.66
Maine,2011,4.27
Maine,2012,1.05
Maine,2013,2.75
Maine,2014,2.83
Maine,2015,0.96
Maine,2016,-0.72
Maine,2017,-0.89
Maine,2018,-0.9
Maine,2019,2.44
Maine,2020,-1.76
